Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Std Overnight,FedEx 2DAy,FedEx Express Saver,FedEx 2Day® A.M.,Zone,
1,62.76,31.76,29.05,20.04,17.82,21.48,2,
2,63.18,32.18,30.98,20.85,18.14,21.86,2,
3,66.11,35.11,33.67,21.20,19.27,22.22,2,
4,69.31,38.31,36.32,21.84,19.60,22.89,2,
5,69.63,38.63,36.96,22.50,19.94,23.56,2,
6,75.27,44.27,39.01,23.47,21.55,24.58,2,
7,75.84,44.84,40.27,24.46,21.90,25.63,2,
8,76.04,45.04,42.39,25.44,22.72,26.66,2,
9,76.24,45.24,43.84,26.74,22.92,28.07,2,
10,76.64,45.64,44.06,26.96,23.14,29.40,2,
11,84.62,53.62,47.23,29.33,27.51,30.72,2,
12,85.88,54.88,48.81,30.88,28.12,33.35,2,
13,86.08,55.08,49.35,33.06,30.66,34.63,2,
14,87.21,56.21,51.26,34.70,30.99,36.34,2,
15,87.41,56.41,53.23,36.02,31.19,38.88,2,
16,91.08,60.08,54.36,36.87,33.07,40.73,2,
17,94.52,63.52,55.53,38.00,33.27,41.02,2,
18,95.03,64.03,58.82,39.27,36.29,43.77,2,
19,95.45,64.45,60.40,40.82,37.23,44.05,2,
20,95.79,64.79,61.52,42.24,37.43,44.27,2,
21,98.61,67.61,63.18,44.20,38.50,48.62,2,
22,101.71,70.71,65.40,45.56,41.27,49.19,2,
23,102.10,71.10,66.52,46.68,42.85,51.58,2,
24,103.99,72.99,68.17,47.75,43.05,53.58,2,
25,104.36,73.36,69.09,49.30,43.26,53.78,2,
26,108.86,77.86,69.29,50.78,47.29,55.42,2,
27,109.32,78.32,72.44,52.40,48.82,56.32,2,
28,110.96,79.96,72.76,54.08,50.30,57.70,2,
29,111.36,80.36,74.16,55.48,50.50,60.64,2,
30,111.73,80.73,77.54,55.70,50.70,62.46,2,
31,114.80,83.80,78.98,55.92,52.99,62.90,2,
32,117.19,86.19,80.62,56.16,54.01,63.10,2,
33,119.25,88.25,82.40,60.80,55.52,65.63,2,
34,121.14,90.14,83.83,62.70,56.62,67.68,2,
35,123.07,92.07,86.22,63.97,57.72,69.05,2,
36,126.88,95.88,86.76,64.97,59.36,71.35,2,
37,127.28,96.28,86.96,66.17,59.68,71.58,2,
38,127.51,96.51,88.49,67.28,60.14,74.30,2,
39,127.89,96.89,90.74,69.42,60.34,76.33,2,
40,128.13,97.13,94.85,69.64,60.69,76.89,2,
41,132.42,101.42,96.48,73.02,67.69,80.27,2,
42,133.90,102.90,98.27,74.21,68.93,83.48,2,
43,136.66,105.66,99.91,75.76,70.27,83.82,2,
44,139.04,108.04,101.63,77.04,70.79,84.72,2,
45,144.18,113.18,103.28,77.38,70.99,84.95,2,
46,147.27,116.27,104.84,79.78,71.19,85.17,2,
47,148.96,117.96,107.08,80.02,71.39,88.91,2,
48,149.16,118.16,108.66,81.69,71.59,90.68,2,
49,149.36,118.36,110.31,81.91,71.79,90.88,2,
50,150.04,119.04,112.48,82.13,72.12,91.83,2,
51,163.45,132.45,114.07,82.89,78.69,97.06,2,
52,165.47,134.47,116.36,88.75,79.35,103.71,2,
53,166.93,135.93,118.48,90.52,82.40,104.38,2,
54,167.35,136.35,120.03,91.80,82.86,104.83,2,
55,167.85,136.85,122.36,93.49,83.26,105.27,2,
56,177.77,146.77,124.60,94.24,83.66,105.77,2,
57,179.03,148.03,127.29,94.68,84.06,108.48,2,
58,179.46,148.46,128.21,95.12,84.46,108.95,2,
59,179.87,148.87,128.61,95.56,84.86,111.47,2,
60,180.30,149.30,129.35,96.00,86.39,112.19,2,
61,188.08,157.08,129.75,96.44,88.61,112.59,2,
62,189.89,158.89,130.17,96.88,90.06,112.99,2,
63,190.34,159.34,138.48,97.32,92.87,115.97,2,
64,198.33,167.33,143.30,103.42,93.27,119.97,2,
65,199.13,168.13,147.64,107.30,93.67,120.37,2,
66,199.56,168.56,150.34,107.74,94.07,120.77,2,
67,201.18,170.18,152.52,108.18,94.47,121.19,2,
68,205.01,174.01,153.31,108.62,94.87,121.63,2,
69,205.42,174.42,153.71,109.06,95.27,122.10,2,
70,205.85,174.85,161.28,109.50,97.62,122.50,2,
71,210.84,179.84,164.36,116.15,98.06,125.27,2,
72,212.00,181.00,164.76,116.82,100.37,129.37,2,
73,212.42,181.42,165.47,117.22,100.77,129.78,2,
74,212.85,181.85,166.13,117.62,101.17,130.29,2,
75,213.70,182.70,175.57,118.42,102.05,131.09,2,
76,223.12,192.12,176.52,120.68,103.33,140.46,2,
77,224.07,193.07,179.39,121.56,104.13,141.40,2,
78,224.92,193.92,180.30,122.44,104.93,142.29,2,
79,225.76,194.76,181.10,123.33,105.73,143.18,2,
80,226.61,195.61,181.97,124.21,106.53,143.98,2,
81,233.34,202.34,182.77,128.51,107.33,144.78,2,
82,234.19,203.19,194.92,129.77,111.15,145.85,2,
83,235.04,204.04,196.14,131.51,111.95,149.36,2,
84,235.88,204.88,196.94,132.39,112.75,151.23,2,
85,236.74,205.74,197.74,138.50,113.55,152.03,2,
86,248.07,217.07,202.03,139.39,114.35,152.83,2,
87,249.22,218.22,203.03,140.27,115.15,153.63,2,
88,250.07,219.07,203.86,141.15,115.95,154.78,2,
89,250.92,219.92,210.57,142.03,116.75,155.58,2,
90,251.76,220.76,213.50,142.91,117.55,156.55,2,
91,261.85,230.85,214.36,143.79,121.97,157.44,2,
92,262.87,231.87,221.25,144.67,122.77,158.32,2,
93,263.76,232.76,223.54,145.55,123.78,159.22,2,
94,264.56,233.56,224.40,146.44,124.68,161.08,2,
95,271.84,240.84,225.26,147.32,125.75,161.88,2,
96,272.64,241.64,226.06,149.79,128.57,162.68,2,
97,273.44,242.44,226.86,150.60,129.37,163.48,2,
98,274.40,243.40,228.40,151.40,134.65,164.28,2,
99,275.20,244.20,229.20,152.20,136.78,168.29,2,
100,276.00,245.00,230.00,153.00,139.00,181.00,2,
101,278.76,247.45,232.3,154.53,140.39,182.81,2,
102,281.52,249.90,234.60,156.06,141.78,184.62,2,
103,284.28,252.35,236.90,157.59,143.17,186.43,2,
104,287.04,254.80,239.20,159.12,144.56,188.24,2,
105,289.80,257.25,241.50,160.65,145.95,190.05,2,
106,292.56,259.70,243.80,162.18,147.34,191.86,2,
107,295.32,262.15,246.10,163.71,148.73,193.67,2,
108,298.08,264.60,248.40,165.24,150.12,195.48,2,
109,300.84,267.05,250.70,166.77,151.51,197.29,2,
110,303.60,269.50,253.00,168.30,152.90,199.10,2,
111,306.36,271.95,255.30,169.83,154.29,200.91,2,
112,309.12,274.40,257.60,171.36,155.68,202.72,2,
113,311.88,276.85,259.90,172.89,157.07,204.53,2,
114,314.64,279.30,262.20,174.42,158.46,206.34,2,
115,317.40,281.75,264.50,175.95,159.85,208.15,2,
116,320.16,284.20,266.80,177.48,161.24,209.96,2,
117,322.92,286.65,269.10,179.01,162.63,211.77,2,
118,325.68,289.10,271.40,180.54,164.02,213.58,2,
119,328.44,291.55,273.70,182.07,165.41,215.39,2,
120,331.20,294.00,276.00,183.60,166.80,217.20,2,
121,333.96,296.45,278.30,185.13,168.19,219.01,2,
122,336.72,298.90,280.60,186.66,169.58,220.82,2,
123,339.48,301.35,282.90,188.19,170.97,222.63,2,
124,342.24,303.80,285.20,189.72,172.36,224.44,2,
125,345.00,306.25,287.50,191.25,173.75,226.25,2,
126,347.76,308.70,289.80,192.78,175.14,228.06,2,
