Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Std Overnight,FedEx 2DAy,FedEx Express Saver,FedEx 2Day® A.M.,Zone,
1,65.14,34.14,31.22,21.02,19.57,23.52,2,
2,65.59,34.59,33.30,21.87,19.93,23.93,2,
3,68.74,37.74,36.19,22.23,21.17,24.33,2,
4,72.17,41.17,39.04,22.91,21.54,25.06,2,
5,72.52,41.52,39.73,23.60,21.91,25.79,2,
6,78.59,47.59,41.93,24.62,23.68,26.91,2,
7,79.20,48.20,43.29,25.65,24.06,28.06,2,
8,79.41,48.41,45.56,26.68,24.96,29.19,2,
9,79.63,48.63,47.12,28.05,25.18,30.73,2,
10,80.06,49.06,47.36,28.28,25.43,32.19,2,
11,88.64,57.64,50.77,30.76,30.15,33.63,2,
12,89.99,58.99,52.47,32.39,30.90,36.51,2,
13,90.21,59.21,53.05,34.67,33.69,37.91,2,
14,91.42,60.42,55.10,36.40,34.05,39.79,2,
15,91.64,60.64,57.22,37.78,34.27,42.57,2,
16,95.58,64.58,58.43,38.67,36.34,44.59,2,
17,99.28,68.28,59.69,39.86,36.56,44.91,2,
18,99.83,68.83,63.23,41.19,39.88,47.92,2,
19,100.28,69.28,64.93,42.82,40.91,48.23,2,
20,100.64,69.64,66.13,44.30,41.13,48.47,2,
21,103.68,72.68,67.91,46.36,42.31,53.23,2,
22,107.01,76.01,70.30,47.79,45.35,53.86,2,
23,107.43,76.43,71.50,48.96,47.09,56.48,2,
24,109.46,78.46,73.28,50.08,47.31,58.66,2,
25,109.86,78.86,74.27,51.71,47.54,58.88,2,
26,114.69,83.69,74.48,53.26,51.97,60.68,2,
27,115.19,84.19,77.87,54.96,53.65,61.67,2,
28,116.95,85.95,78.21,56.72,55.27,63.18,2,
29,117.38,86.38,79.72,58.19,55.49,66.40,2,
30,117.78,86.78,83.35,58.42,55.71,68.39,2,
31,121.08,90.08,84.90,58.66,57.50,68.87,2,
32,123.65,92.65,86.66,58.91,57.75,69.09,2,
33,125.86,94.86,88.58,63.77,61.01,71.86,2,
34,127.90,96.90,90.11,65.77,62.22,74.10,2,
35,129.97,98.97,92.68,67.10,63.43,75.60,2,
36,134.07,103.07,93.26,68.15,65.23,78.12,2,
37,134.50,103.50,93.48,69.41,65.58,78.38,2,
38,134.74,103.74,95.12,70.57,66.09,81.35,2,
39,135.15,104.15,97.54,72.82,66.30,83.58,2,
40,135.41,104.41,101.96,73.05,66.69,84.19,2,
41,140.02,109.02,103.71,76.59,74.39,87.89,2,
42,141.61,110.61,105.64,77.84,75.75,91.41,2,
43,144.58,113.58,107.40,79.47,77.22,91.78,2,
44,147.14,116.14,109.25,80.81,77.79,92.76,2,
45,152.66,121.66,111.02,81.17,78.01,93.02,2,
46,155.99,124.99,112.70,83.68,78.23,93.26,2,
47,157.80,126.80,115.11,83.94,78.45,97.35,2,
48,158.02,127.02,116.80,85.69,78.67,99.29,2,
49,158.23,127.23,118.58,85.92,78.89,99.51,2,
50,158.96,127.96,120.91,86.15,79.25,100.55,2,
51,173.38,142.38,122.62,86.95,85.24,106.28,2,
52,175.55,144.55,125.08,93.09,87.20,113.56,2,
53,177.12,146.12,127.36,94.95,90.55,114.29,2,
54,177.57,146.57,129.03,96.29,91.06,114.78,2,
55,178.11,147.11,131.53,98.07,91.50,115.27,2,
56,188.77,157.77,133.94,98.85,91.94,115.81,2,
57,190.13,159.13,136.83,99.31,92.38,118.78,2,
58,190.59,159.59,137.82,99.78,92.82,119.30,2,
59,191.03,160.03,138.25,100.24,93.26,122.05,2,
60,191.49,160.49,139.05,100.70,94.94,122.84,2,
61,199.86,168.86,139.48,101.16,97.38,123.28,2,
62,201.80,170.80,139.93,101.62,98.97,123.72,2,
63,202.29,171.29,148.86,102.08,100.07,126.98,2,
64,210.87,179.87,154.04,108.48,102.50,131.36,2,
65,211.73,180.73,158.71,112.55,102.94,131.80,2,
66,212.20,181.20,161.61,113.01,103.38,132.24,2,
67,213.94,182.94,163.95,113.48,103.82,132.70,2,
68,218.06,187.06,164.80,113.94,104.26,133.18,2,
69,218.50,187.50,165.23,114.40,104.70,133.69,2,
70,218.96,187.96,173.37,114.86,107.28,134.13,2,
71,224.32,193.32,176.68,121.84,107.76,137.17,2,
72,225.57,194.57,177.11,122.54,110.30,141.65,2,
73,226.02,195.02,177.88,122.96,110.74,142.10,2,
74,226.48,195.48,178.58,123.38,111.18,142.66,2,
75,227.40,196.40,188.73,124.22,112.15,143.54,2,
76,237.52,206.52,189.75,126.59,113.55,153.80,2,
77,238.55,207.55,192.84,127.51,114.43,154.83,2,
78,239.46,208.46,193.82,128.43,115.31,155.80,2,
79,240.36,209.36,194.68,129.37,116.19,156.78,2,
80,241.28,210.28,195.61,130.29,117.07,157.65,2,
81,248.51,217.51,196.47,134.80,117.95,158.53,2,
82,249.42,218.42,209.53,136.12,122.15,159.70,2,
83,250.34,219.34,210.85,137.95,123.03,163.54,2,
84,251.24,220.24,211.71,138.87,123.91,165.59,2,
85,252.17,221.17,212.57,145.28,124.79,166.47,2,
86,264.35,233.35,217.18,146.22,125.67,167.34,2,
87,265.58,234.58,218.25,147.14,126.54,168.22,2,
88,266.50,235.50,219.14,148.06,127.42,169.48,2,
89,267.41,236.41,226.36,148.98,128.30,170.36,2,
90,268.31,237.31,229.51,149.91,129.18,171.42,2,
91,277.66,246.66,230.43,150.83,134.04,172.39,2,
92,278.60,247.60,237.84,151.75,134.92,173.36,2,
93,279.40,248.40,240.30,152.68,136.03,174.34,2,
94,280.20,249.20,241.23,153.61,137.02,176.38,2,
95,281.00,250.00,242.15,154.53,138.19,177.25,2,
96,281.80,250.80,243.01,156.80,141.29,178.13,2,
97,282.60,251.60,243.87,157.60,142.17,179.01,2,
98,283.40,252.40,245.40,158.40,147.98,179.88,2,
99,284.20,253.20,246.20,159.20,150.32,184.27,2,
100,285.00,254.00,247.00,160.00,152.00,198.00,2,
101,287.85,256.54,249.47,161.60,153.52,$ 199.98,2,
102,290.70,259.08,251.94,163.20,155.04,201.96,2,
103,293.55,261.62,254.41,164.80,156.56,203.94,2,
104,296.40,264.16,256.88,166.40,158.08,205.92,2,
105,299.25,266.70,259.35,168.00,159.60,207.90,2,
106,302.10,269.24,261.82,169.60,161.12,209.88,2,
107,304.95,271.78,264.29,171.20,162.64,211.86,2,
108,307.80,274.32,266.76,172.80,164.16,213.84,2,
109,310.65,276.86,269.23,174.40,165.68,215.82,2,
110,313.50,279.40,271.70,176.00,167.20,217.80,2,
111,316.35,281.94,274.17,177.60,168.72,219.78,2,
112,319.20,284.48,276.64,179.20,170.24,221.76,2,
113,322.05,287.02,279.11,180.80,171.76,223.74,2,
114,324.90,289.56,281.58,182.40,173.28,225.72,2,
115,327.75,292.10,284.05,184.00,174.80,227.70,2,
116,330.60,294.64,286.52,185.60,176.32,229.68,2,
117,333.45,297.18,288.99,187.20,177.84,231.66,2,
118,336.30,299.72,291.46,188.80,179.36,233.64,2,
119,339.15,302.26,293.93,190.40,180.88,235.62,2,
120,342.00,304.80,296.40,192.00,182.40,237.60,2,
121,344.85,307.34,298.87,193.60,183.92,239.58,2,
122,347.70,309.88,301.34,195.20,185.44,241.56,2,
123,350.55,312.42,303.81,196.80,186.96,243.54,2,
124,353.40,314.96,306.28,198.40,188.48,245.52,2,
125,356.25,317.50,308.75,200.00,190.00,247.50,2,
126,359.10,320.04,311.22,201.60,191.52,249.48,2,
127,361.95,322.58,313.69,203.20,193.04,251.46,2,
128,364.80,325.12,316.16,204.80,194.56,253.44,2,
129,367.65,327.66,318.63,206.40,196.08,255.42,2,
130,370.50,330.20,321.10,208.00,197.60,257.40,2,
131,373.35,332.74,323.57,209.60,199.12,259.38,2,
132,376.20,335.28,326.04,211.20,200.64,261.36,2,
133,379.05,337.82,328.51,212.80,202.16,263.34,2,
134,381.90,340.36,330.98,214.40,203.68,265.32,2,
135,384.75,342.90,333.45,216.00,205.20,267.30,2,
136,387.60,345.44,335.92,217.60,206.72,269.28,2,
137,390.45,347.98,338.39,219.20,208.24,271.26,2,
138,393.30,350.52,340.86,220.80,209.76,273.24,2,
139,396.15,353.06,343.33,222.40,211.28,275.22,2,
140,399.00,355.60,345.80,224.00,212.80,277.20,2,
141,401.85,358.14,348.27,225.60,214.32,279.18,2,
142,404.70,360.68,350.74,227.20,215.84,281.16,2,
143,407.55,363.22,353.21,228.80,217.36,283.14,2,
144,410.40,365.76,355.68,230.40,218.88,285.12,2,
145,413.25,368.30,358.15,232.00,220.40,287.10,2,
146,416.10,370.84,360.62,233.60,221.92,289.08,2,
147,418.95,373.38,363.09,235.20,223.44,291.06,2,
148,421.80,375.92,365.56,236.80,224.96,293.04,2,
149,424.65,378.46,368.03,238.40,226.48,295.02,2,
150,427.50,381.0,370.50,240.00,228.00,297.00,2,
1,81.55,50.55,42.55,21.91,19.97,24.58,3,
2,81.84,50.84,45.53,22.99,20.34,25.07,3,
3,87.39,56.39,48.16,23.73,22.57,25.89,3,
4,88.60,57.60,51.06,24.55,23.32,26.78,3,
5,88.92,57.92,51.50,25.35,23.68,27.68,3,
6,94.95,63.95,58.66,26.34,25.81,28.71,3,
7,98.29,67.29,61.21,28.86,28.29,32.45,3,
8,98.63,67.63,62.97,31.49,29.94,35.12,3,
9,99.09,68.09,65.69,32.88,30.16,37.82,3,
10,99.98,68.98,67.62,35.06,30.38,39.11,3,
11,112.21,81.21,71.28,36.92,32.69,40.24,3,
12,114.90,83.90,74.91,39.08,38.31,44.94,3,
13,115.73,84.73,78.66,41.11,40.30,46.20,3,
14,116.75,85.75,81.73,43.25,40.90,48.24,3,
15,117.27,86.27,84.57,44.30,43.43,50.92,3,
16,127.59,96.59,85.35,45.77,44.80,52.64,3,
17,128.64,97.64,88.17,47.14,46.21,54.19,3,
18,129.16,98.16,89.17,48.69,47.67,57.22,3,
19,129.38,98.38,92.95,50.03,49.04,57.53,3,
20,129.81,98.81,95.70,52.18,49.66,59.99,3,
21,134.32,103.32,97.55,54.22,51.29,62.30,3,
22,140.05,109.05,99.62,56.83,54.47,63.33,3,
23,140.63,109.63,101.52,58.08,55.71,69.32,3,
24,141.09,110.09,103.22,60.39,59.20,69.94,3,
25,141.54,110.54,105.36,62.11,59.57,71.40,3,
26,150.31,119.31,108.34,63.82,62.56,73.34,3,
27,151.20,120.20,111.33,65.68,64.39,76.48,3,
28,151.61,120.61,114.22,67.84,64.66,76.80,3,
29,152.23,121.23,116.36,69.10,66.23,77.03,3,
30,152.45,121.45,117.64,70.98,68.03,81.56,3,
31,155.87,124.87,118.99,73.36,71.92,83.57,3,
32,158.87,127.87,121.04,74.99,72.39,89.08,3,
33,166.07,135.07,123.46,76.94,73.90,89.79,3,
34,166.79,135.79,126.22,78.36,74.12,90.04,3,
35,167.20,136.20,128.72,80.74,77.40,90.27,3,
36,169.87,138.87,131.48,82.52,79.12,94.73,3,
37,179.18,148.18,133.25,83.71,79.69,95.18,3,
38,180.12,149.12,135.93,84.97,80.06,97.67,3,
39,180.51,149.51,136.25,87.22,80.42,97.98,3,
40,180.91,149.91,142.48,89.53,80.78,100.55,3,
41,188.04,157.04,144.31,91.70,87.94,105.38,3,
42,188.76,157.76,146.46,93.92,90.09,109.86,3,
43,191.28,160.28,149.58,95.87,92.68,110.32,3,
44,199.68,168.68,152.28,97.06,92.95,110.57,3,
45,206.23,175.23,155.54,99.44,93.17,113.14,3,
46,206.90,175.90,158.18,100.54,93.39,120.14,3,
47,209.47,178.47,161.43,100.77,93.61,120.84,3,
48,209.83,178.83,164.63,104.83,93.83,121.06,3,
49,210.05,179.05,167.90,105.24,94.05,123.79,3,
50,211.06,180.06,170.36,105.47,94.47,132.23,3,
51,231.11,200.11,173.81,105.93,102.82,134.05,3,
52,241.59,210.59,176.42,111.62,104.26,138.92,3,
53,242.64,211.64,180.11,113.88,110.99,139.41,3,
54,243.09,212.09,183.68,115.26,111.68,142.54,3,
55,246.76,215.76,187.51,115.72,112.11,142.97,3,
56,258.85,227.85,190.73,116.18,112.55,143.41,3,
57,261.13,230.13,194.76,121.18,112.99,143.85,3,
58,262.10,231.10,199.24,121.69,113.43,144.29,3,
59,262.55,231.55,204.35,122.41,113.93,144.98,3,
60,263.01,232.01,208.90,122.87,117.62,153.10,3,
61,271.19,240.19,212.81,123.34,120.92,153.92,3,
62,278.62,247.62,215.86,123.80,121.37,154.44,3,
63,279.40,248.40,220.12,124.26,121.82,159.91,3,
64,287.26,256.26,221.05,126.69,124.20,161.72,3,
65,288.99,257.99,227.88,130.05,127.50,162.21,3,
66,289.70,258.70,228.58,130.51,127.95,165.77,3,
67,303.78,272.78,237.61,133.12,130.50,167.14,3,
68,305.37,274.37,242.01,134.19,131.55,168.39,3,
69,305.82,274.82,245.98,137.17,134.24,168.90,3,
70,306.28,275.28,251.09,149.50,138.00,177.75,3,
71,306.72,275.72,255.08,151.52,138.49,178.64,3,
72,314.83,283.83,259.05,151.98,138.97,179.08,3,
73,320.75,289.75,264.86,152.45,139.45,179.52,3,
74,321.35,290.35,265.47,152.91,139.93,179.96,3,
75,322.28,291.28,272.03,153.84,140.91,181.09,3,
76,330.36,299.36,272.97,154.75,141.86,181.97,3,
77,340.38,309.38,273.89,155.68,142.84,182.85,3,
78,341.39,310.39,286.42,156.60,143.97,183.80,3,
79,342.29,311.29,287.68,157.52,144.85,184.76,3,
80,343.21,312.21,296.36,158.45,145.73,185.72,3,
81,344.12,313.12,301.38,159.29,148.15,186.67,3,
82,345.03,314.03,306.24,160.12,154.36,202.05,3,
83,345.95,314.95,308.77,162.63,155.33,204.61,3,
84,346.85,315.85,309.65,163.56,160.35,205.49,3,
85,347.77,316.77,310.55,167.28,164.00,206.37,3,
86,366.00,335.00,319.84,172.44,165.43,207.24,3,
87,374.53,343.53,320.79,173.35,169.95,208.20,3,
88,375.45,344.45,325.78,174.29,170.87,209.26,3,
89,376.35,345.35,329.70,175.21,171.77,210.13,3,
90,377.26,346.26,330.62,176.13,172.67,215.10,3,
91,378.80,347.80,331.55,177.06,173.58,215.98,3,
92,379.60,348.60,341.41,177.98,174.49,216.86,3,
93,380.40,349.40,342.40,178.90,175.39,217.74,3,
94,381.20,350.20,343.20,179.83,176.30,218.62,3,
95,382.00,351.00,344.00,180.75,177.20,219.98,3,
96,382.80,351.80,344.80,181.59,178.02,220.86,3,
97,383.60,352.60,345.60,182.60,179.01,221.94,3,
98,384.40,353.40,346.40,183.53,179.93,222.82,3,
99,385.20,354.20,347.20,184.45,180.83,223.70,3,
100,386.00,355.00,348.00,200.00,196.00,238.00,3,
101,389.86,358.55,351.48,202,197.96,240.38,3,
102,393.72,362.10,354.96,204.00,199.92,242.76,3,
103,397.58,365.65,358.44,206.00,201.88,245.14,3,
104,401.44,369.20,361.92,208.00,203.84,247.52,3,
105,405.30,372.75,365.40,210.00,205.80,249.90,3,
106,409.16,376.30,368.88,212.00,207.76,252.28,3,
107,413.02,379.85,372.36,214.00,209.72,254.66,3,
108,416.88,383.40,375.84,216.00,211.68,257.04,3,
109,420.74,386.95,379.32,218.00,213.64,259.42,3,
110,424.60,390.50,382.80,220.00,215.60,261.80,3,
111,428.46,394.05,386.28,222.00,217.56,264.18,3,
112,432.32,397.60,389.76,224.00,219.52,266.56,3,
113,436.18,401.15,393.24,226.00,221.48,268.94,3,
114,440.04,404.70,396.72,228.00,223.44,271.32,3,
115,443.90,408.25,400.20,230.00,225.40,273.70,3,
116,447.76,411.80,403.68,232.00,227.36,276.08,3,
117,451.62,415.35,407.16,234.00,229.32,278.46,3,
118,455.48,418.90,410.64,236.00,231.28,280.84,3,
119,459.34,422.45,414.12,238.00,233.24,283.22,3,
120,463.20,426.00,417.60,240.00,235.20,285.60,3,
121,467.06,429.55,421.08,242.00,237.16,287.98,3,
122,470.92,433.10,424.56,244.00,239.12,290.36,3,
123,474.78,436.65,428.04,246.00,241.08,292.74,3,
124,478.64,440.20,431.52,248.00,243.04,295.12,3,
125,482.50,443.75,435.00,250.00,245.00,297.50,3,
126,486.36,447.30,438.48,252.00,246.96,299.88,3,
127,490.22,450.85,441.96,254.00,248.92,302.26,3,
128,494.08,454.40,445.44,256.00,250.88,304.64,3,
129,497.94,457.95,448.92,258.00,252.84,307.02,3,
130,501.80,461.50,452.40,260.00,254.80,309.40,3,
131,505.66,465.05,455.88,262.00,256.76,311.78,3,
132,509.52,468.60,459.36,264.00,258.72,314.16,3,
133,513.38,472.15,462.84,266.00,260.68,316.54,3,
134,517.24,475.70,466.32,268.00,262.64,318.92,3,
135,521.10,479.25,469.80,270.00,264.60,321.30,3,
136,524.96,482.80,473.28,272.00,266.56,323.68,3,
137,528.82,486.35,476.76,274.00,268.52,326.06,3,
138,532.68,489.90,480.24,276.00,270.48,328.44,3,
139,536.54,493.45,483.72,278.00,272.44,330.82,3,
140,540.40,497.00,487.20,280.00,274.40,333.20,3,
141,544.26,500.55,490.68,282.00,276.36,335.58,3,
142,548.12,504.10,494.16,284.00,278.32,337.96,3,
143,551.98,507.65,497.64,286.00,280.28,340.34,3,
144,555.84,511.20,501.12,288.00,282.24,342.72,3,
145,559.70,514.75,504.60,290.00,284.20,345.10,3,
146,563.56,518.30,508.08,292.00,286.16,347.48,3,
147,567.42,521.85,511.56,294.00,288.12,349.86,3,
148,571.28,525.40,515.04,296.00,290.08,352.24,3,
149,575.14,528.95,518.52,298.00,292.04,354.62,3,
150,579.00,532.50,522.00,300.00,294.00,357.00,3,
1,97.74,66.74,57.85,22.84,20.38,26.69,4,
2,103.88,72.88,66.53,23.73,20.76,26.93,4,
3,111.71,80.71,73.78,25.12,23.03,28.51,4,
4,121.27,90.27,79.93,27.20,25.04,30.88,4,
5,123.18,92.18,85.03,29.57,26.41,34.31,4,
6,134.65,103.65,94.60,32.22,30.17,37.39,4,
7,139.29,108.29,101.23,34.95,32.61,40.57,4,
8,143.99,112.99,106.90,37.39,33.72,43.39,4,
9,148.02,117.02,113.95,40.40,35.99,46.89,4,
10,149.33,118.33,116.00,43.51,36.93,50.51,4,
11,175.35,144.35,127.75,45.51,40.72,51.21,4,
12,178.59,147.59,134.78,48.01,44.42,55.73,4,
13,181.91,150.91,141.20,49.86,45.36,56.57,4,
14,188.51,157.51,148.39,53.11,49.21,61.63,4,
15,191.26,160.26,152.23,55.70,51.42,64.63,4,
16,202.53,171.53,160.90,58.13,53.20,67.45,4,
17,212.10,181.10,165.47,60.64,55.41,70.36,4,
18,213.21,182.21,170.45,62.84,57.54,72.90,4,
19,213.42,182.42,174.51,64.71,59.54,75.08,4,
20,214.26,183.26,179.23,67.20,60.69,77.96,4,
21,230.93,199.93,189.94,69.73,62.69,80.89,4,
22,236.08,205.08,194.84,71.65,65.43,86.31,4,
23,241.77,210.77,200.25,74.23,69.78,89.42,4,
24,244.79,213.79,202.57,76.60,71.54,91.43,4,
25,251.94,220.94,204.81,78.05,73.91,92.27,4,
26,264.74,233.74,217.62,80.95,76.33,97.51,4,
27,270.52,239.52,223.39,83.01,79.21,100.86,4,
28,276.96,245.96,229.83,84.92,81.20,101.20,4,
29,282.56,251.56,235.43,87.44,83.54,103.37,4,
30,283.13,252.13,236.00,90.46,83.78,104.95,4,
31,293.84,262.84,246.16,92.90,86.22,107.78,4,
32,299.41,268.41,251.52,95.55,88.67,110.85,4,
33,303.80,272.80,256.67,98.20,92.29,117.86,4,
34,309.60,278.60,262.48,100.27,92.66,118.59,4,
35,310.19,279.19,263.07,102.43,95.34,118.81,4,
36,321.23,290.23,274.11,104.55,98.92,121.29,4,
37,328.00,297.00,280.87,107.08,99.28,121.57,4,
38,332.64,301.64,285.52,109.79,102.13,126.13,4,
39,337.87,306.87,290.75,111.64,104.00,126.59,4,
40,338.41,307.41,291.29,114.30,104.22,132.59,4,
41,349.09,318.09,301.96,115.63,107.96,134.13,4,
