Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Std Overnight,FedEx 2DAy,FedEx Express Saver,FedEx 2Day® A.M.,Zone,,
1,68.04,37.04,33.87,25.37,22.59,21.03,2,,
2,68.53,37.53,36.13,25.82,23.51,21.42,2,,
3,71.94,40.94,39.26,26.25,23.89,22.75,2,,
4,75.66,44.66,42.35,27.03,24.62,23.15,2,,
5,76.04,45.04,43.10,27.82,25.37,23.55,2,,
6,82.63,51.63,45.49,29.03,26.46,25.45,2,,
7,83.29,52.29,46.96,30.27,27.57,25.86,2,,
8,83.52,52.52,49.43,31.49,28.68,26.83,2,,
9,83.76,52.76,51.12,33.15,30.15,27.06,2,,
10,84.23,53.23,51.38,34.73,30.40,27.33,2,,
11,93.53,62.53,55.08,36.28,33.06,32.41,2,,
12,95.00,64.00,56.92,39.39,34.81,33.21,2,,
13,95.24,64.24,57.55,40.90,37.27,36.21,2,,
14,96.55,65.55,59.78,42.93,39.13,36.60,2,,
15,96.79,65.79,62.08,45.93,40.61,36.84,2,,
16,101.06,70.06,63.39,48.11,41.57,39.06,2,,
17,105.08,74.08,64.76,48.45,42.84,39.30,2,,
18,105.68,74.68,68.60,51.70,44.27,42.87,2,,
19,106.16,75.16,70.44,52.03,46.03,43.97,2,,
20,106.55,75.55,71.75,52.29,47.62,44.21,2,,
21,116.07,85.07,79.20,61.39,52.57,47.52,2,,
22,119.98,88.98,81.99,62.11,54.19,50.94,2,,
23,120.47,89.47,83.38,65.14,55.52,52.89,2,,
24,122.84,91.84,85.46,67.65,56.79,53.13,2,,
25,123.31,92.31,86.62,67.91,58.63,53.39,2,,
26,128.97,97.97,86.87,69.98,60.39,58.37,2,,
27,129.55,98.55,90.81,71.13,62.32,60.26,2,,
28,131.61,100.61,91.21,72.87,64.32,62.08,2,,
29,132.12,101.12,92.97,76.58,65.99,62.33,2,,
30,132.58,101.58,97.21,78.88,66.25,62.57,2,,
31,136.45,105.45,99.01,79.43,66.51,64.59,2,,
32,139.46,108.46,101.07,79.68,66.80,64.86,2,,
33,142.05,111.05,103.30,82.87,72.32,68.53,2,,
34,144.43,113.43,105.09,85.46,74.58,69.88,2,,
35,146.86,115.86,108.09,87.19,76.09,71.24,2,,
36,151.66,120.66,108.76,90.10,77.28,73.27,2,,
37,152.16,121.16,109.02,90.40,78.71,73.66,2,,
38,152.44,121.44,110.94,93.82,80.03,74.23,2,,
39,152.92,121.92,113.76,96.40,82.57,74.47,2,,
40,153.22,122.22,118.91,97.10,82.83,74.91,2,,
41,158.62,127.62,120.95,101.37,86.85,83.55,2,,
42,160.49,129.49,123.20,105.43,88.27,85.09,2,,
43,163.96,132.96,125.25,105.86,90.12,86.74,2,,
44,166.96,135.96,127.41,106.98,91.64,87.38,2,,
45,173.42,142.42,129.48,107.28,92.04,87.63,2,,
46,177.32,146.32,131.44,107.56,94.89,87.87,2,,
47,179.43,148.43,134.25,112.28,95.19,88.12,2,,
48,179.69,148.69,136.22,114.52,97.17,88.37,2,,
49,179.94,148.94,138.29,114.77,97.43,88.61,2,,
