,Weight,Zone,Type of Delivery,Price,Year
0,1,2,FedEx First Overnight,62.76,2021
1,1,2,FedEx Priority Overnight,31.76,2021
2,1,2,FedEx Std Overnight,29.05,2021
3,1,2,FedEx 2DAy,20.04,2021
4,1,2,FedEx Express Saver,17.82,2021
5,1,2,FedEx 2Day® A.M.,21.48,2021
6,2,2,FedEx First Overnight,63.18,2021
7,2,2,FedEx Priority Overnight,32.18,2021
8,2,2,FedEx Std Overnight,30.98,2021
9,2,2,FedEx 2DAy,20.85,2021
10,2,2,FedEx Express Saver,18.14,2021
11,2,2,FedEx 2Day® A.M.,21.86,2021
12,3,2,FedEx First Overnight,66.11,2021
13,3,2,FedEx Priority Overnight,35.11,2021
14,3,2,FedEx Std Overnight,33.67,2021
15,3,2,FedEx 2DAy,21.2,2021
16,3,2,FedEx Express Saver,19.27,2021
17,3,2,FedEx 2Day® A.M.,22.22,2021
18,4,2,FedEx First Overnight,69.31,2021
19,4,2,FedEx Priority Overnight,38.31,2021
20,4,2,FedEx Std Overnight,36.32,2021
21,4,2,FedEx 2DAy,21.84,2021
22,4,2,FedEx Express Saver,19.60,2021
23,4,2,FedEx 2Day® A.M.,22.89,2021
24,5,2,FedEx First Overnight,69.63,2021
25,5,2,FedEx Priority Overnight,38.63,2021
26,5,2,FedEx Std Overnight,36.96,2021
27,5,2,FedEx 2DAy,22.5,2021
28,5,2,FedEx Express Saver,19.94,2021
29,5,2,FedEx 2Day® A.M.,23.56,2021
30,6,2,FedEx First Overnight,75.27,2021
31,6,2,FedEx Priority Overnight,44.27,2021
32,6,2,FedEx Std Overnight,39.01,2021
33,6,2,FedEx 2DAy,23.47,2021
34,6,2,FedEx Express Saver,21.55,2021
35,6,2,FedEx 2Day® A.M.,24.58,2021
36,7,2,FedEx First Overnight,75.84,2021
37,7,2,FedEx Priority Overnight,44.84,2021
38,7,2,FedEx Std Overnight,40.27,2021
39,7,2,FedEx 2DAy,24.46,2021
40,7,2,FedEx Express Saver,21.90,2021
41,7,2,FedEx 2Day® A.M.,25.63,2021
42,8,2,FedEx First Overnight,76.04,2021
