Date ,Price,,,,,
"Jan 05, 2021",1.376,,,,,
"Jan 06, 2021",1.371,,,,,
"Jan 07, 2021",1.38,,,,,
"Jan 08, 2021",1.424,,,,,
"Jan 11, 2021",1.412,,,,,
"Jan 12, 2021",1.463,,,,,
"Jan 13, 2021",1.462,,,,,
"Jan 14, 2021",1.473,,,,,
"Jan 15, 2021",1.433,,,,,
"Jan 19, 2021",1.443,,,,,
"Jan 20, 2021",1.442,,,,,
"Jan 21, 2021",1.444,,,,,
"Jan 22, 2021",1.421,,,,,
"Jan 25, 2021",1.464,,,,,
"Jan 26, 2021",1.409,,,,,
"Jan 27, 2021",1.424,,,,,
"Jan 28, 2021",1.418,,,,,
"Jan 29, 2021",1.417,,,,,
"Feb 01, 2021",1.454,,,,,
"Feb 02, 2021",1.484,,,,,
"Feb 03, 2021",1.505,,,,,
"Feb 04, 2021",1.521,,,,,
"Feb 05, 2021",1.527,,,,,
"Feb 08, 2021",1.567,,,,,
"Feb 09, 2021",1.569,,,,,
"Feb 10, 2021",1.569,,,,,
"Feb 11, 2021",1.554,,,,,
"Feb 12, 2021",1.581,,,,,
"Feb 16, 2021",1.632,,,,,
"Feb 17, 2021",1.659,,,,,
"Feb 18, 2021",1.624,,,,,
"Feb 19, 2021",1.618,,,,,
"Feb 22, 2021",1.671,,,,,
"Feb 23, 2021",1.717,,,,,
"Feb 24, 2021",1.754,,,,,
"Feb 25, 2021",1.729,,,,,
"Feb 26, 2021",1.682,,,,,
"Mar 01, 2021",1.645,,,,,
"Mar 02, 2021",1.636,,,,,
"Mar 03, 2021",1.655,,,,,
"Mar 04, 2021",1.719,,,,,
"Mar 05, 2021",1.769,,,,,
"Mar 08, 2021",1.71,,,,,
"Mar 09, 2021",1.702,,,,,
"Mar 10, 2021",1.722,,,,,
"Mar 11, 2021",1.76,,,,,
"Mar 12, 2021",1.76,,,,,
"Mar 15, 2021",1.748,,,,,
"Mar 16, 2021",1.728,,,,,
"Mar 17, 2021",1.686,,,,,
"Mar 18, 2021",1.579,,,,,
"Mar 19, 2021",1.622,,,,,
"Mar 22, 2021",1.633,,,,,
"Mar 23, 2021",1.54,,,,,
"Mar 24, 2021",1.645,,,,,
"Mar 25, 2021",1.573,,,,,
"Mar 26, 2021",1.604,,,,,
"Mar 29, 2021",1.61,,,,,
"Mar 30, 2021",1.588,,,,,
"Mar 31, 2021",1.571,,,,,
"Apr 01, 2021",1.624,,,,,
"Apr 05, 2021",1.582,,,,,
"Apr 06, 2021",1.596,,,,,
"Apr 07, 2021",1.604,,,,,
"Apr 08, 2021",1.61,,,,,
"Apr 09, 2021",1.805,,,,,
"Apr 12, 2021",1.623,,,,,
"Apr 13, 2021",1.632,,,,,
"Apr 14, 2021",1.696,,,,,
"Apr 15, 2021",1.71,,,,,
"Apr 16, 2021",1.699,,,,,
"Apr 19, 2021",1.701,,,,,
"Apr 20, 2021",1.682,,,,,
"Apr 21, 2021",1.644,,,,,
"Apr 22, 2021",1.661,,,,,
"Apr 23, 2021",1.67,,,,,
"Apr 26, 2021",1.673,,,,,
"Apr 27, 2021",1.703,,,,,
"Apr 28, 2021",1.724,,,,,
"Apr 29, 2021",1.729,,,,,
"Apr 30, 2021",1.689,,,,,
"May 03, 2021",1.722,,,,,
"May 04, 2021",1.762,,,,,
"May 05, 2021",1.755,,,,,
"May 06, 2021",1.749,,,,,
"May 07, 2021",1.75,,,,,
"May 10, 2021",1.749,,,,,
"May 11, 2021",1.77,,,,,
"May 12, 2021",1.81,,,,,
"May 13, 2021",1.736,,,,,
"May 14, 2021",1.775,,,,,
"May 17, 2021",1.777,,,,,
"May 18, 2021",1.772,,,,,
"May 19, 2021",1.738,,,,,
"May 20, 2021",1.672,,,,,
"May 21, 2021",1.699,,,,,
"May 24, 2021",1.765,,,,,
"May 25, 2021",1.75,,,,,
"May 26, 2021",1.763,,,,,
"May 27, 2021",1.773,,,,,
"May 28, 2021",1.759,,,,,
"Jun 01, 2021",1.797,,,,,
"Jun 02, 2021",1.823,,,,,
"Jun 03, 2021",1.818,,,,,
"Jun 04, 2021",1.828,,,,,
"Jun 07, 2021",1.829,,,,,
"Jun 08, 2021",1.854,,,,,
"Jun 09, 2021",1.819,,,,,
"Jun 10, 2021",1.841,,,,,
"Jun 11, 2021",1.822,,,,,
"Jun 14, 2021",1.847,,,,,
"Jun 15, 2021",1.855,,,,,
"Jun 16, 2021",1.834,,,,,
"Jun 17, 2021",1.826,,,,,
"Jun 18, 2021",1.863,,,,,
"Jun 21, 2021",1.899,,,,,
"Jun 22, 2021",1.933,,,,,
"Jun 23, 2021",1.939,,,,,
"Jun 24, 2021",1.903,,,,,
"Jun 25, 2021",1.882,,,,,
"Jun 28, 2021",1.876,,,,,
"Jun 29, 2021",1.884,,,,,
"Jun 30, 2021",1.883,,,,,
"Jul 01, 2021",1.897,,,,,
"Jul 02, 2021",1.934,,,,,
"Jul 06, 2021",1.87,,,,,
"Jul 07, 2021",1.837,,,,,
"Jul 08, 2021",1.878,,,,,
"Jul 09, 2021",1.902,,,,,
"Jul 12, 2021",1.923,,,,,
"Jul 13, 2021",1.954,,,,,
"Jul 14, 2021",1.904,,,,,
"Jul 15, 2021",1.864,,,,,
"Jul 16, 2021",1.865,,,,,
"Jul 19, 2021",1.747,,,,,
"Jul 20, 2021",1.846,,,,,
"Jul 21, 2021",1.839,,,,,
"Jul 22, 2021",1.886,,,,,
"Jul 23, 2021",1.89,,,,,
"Jul 26, 2021",1.913,,,,,
"Jul 27, 2021",1.899,,,,,
"Jul 28, 2021",1.901,,,,,
"Jul 29, 2021",1.94,,,,,
"Jul 30, 2021",1.936,,,,,
"Aug 02, 2021",1.887,,,,,
"Aug 03, 2021",1.858,,,,,
"Aug 04, 2021",1.789,,,,,
"Aug 05, 2021",1.821,,,,,
"Aug 06, 2021",1.804,,,,,
"Aug 09, 2021",1.791,,,,,
"Aug 10, 2021",1.816,,,,,
"Aug 11, 2021",1.843,,,,,
"Aug 12, 2021",1.838,,,,,
"Aug 13, 2021",1.806,,,,,
"Aug 16, 2021",1.795,,,,,
"Aug 17, 2021",1.782,,,,,
"Aug 18, 2021",1.742,,,,,
"Aug 19, 2021",1.71,,,,,
"Aug 20, 2021",1.645,,,,,
"Aug 23, 2021",1.769,,,,,
"Aug 24, 2021",1.842,,,,,
"Aug 25, 2021",1.88,,,,,
"Aug 26, 2021",1.842,,,,,
"Aug 27, 2021",1.879,,,,,
