Lower limit,Upper Limit,Fuel Surcharge percent,,,,
0,0.15,0,,,,
0.15,0.19,0.5,,,,
0.19,0.23,1,,,,
0.23,0.27,1.5,,,,
0.27,0.31,2,,,,
0.31,0.35,2.5,,,,
0.35,0.39,3,,,,
0.39,0.43,3.5,,,,
0.43,0.47,4,,,,
0.47,0.51,4.5,,,,
0.51,0.55,5,,,,
0.55,0.59,5.5,,,,
0.59,0.63,6,,,,
0.63,0.67,6.5,,,,
0.67,0.71,7,,,,
0.71,0.75,7.5,,,,
0.75,0.79,8,,,,
0.79,0.83,8.5,,,,
0.83,0.87,9,,,,
0.87,0.91,9.5,,,,
0.91,0.95,10,,,,
0.95,0.99,10.5,,,,
0.99,1.03,11,,,,
1.03,1.07,11.5,,,,
1.07,1.11,12,,,,
1.11,1.15,12.5,,,,
1.15,1.19,13,,,,
1.19,1.25,13.5,,,,
1.25,1.31,14,,,,
1.31,1.37,14.5,,,,
1.37,1.43,15,,,,
1.43,1.49,15.5,,,,
1.49,1.55,16,,,,
1.55,1.61,16.5,,,,
1.61,1.67,17,,,,
1.67,1.73,17.5,,,,
1.73,1.79,18,,,,
1.79,1.85,18.5,,,,
1.85,1.91,19,,,,
1.91,1.97,19.5,,,,
1.97,2.03,20,,,,
2.03,2.09,20.5,,,,
2.09,2.15,21,,,,
2.15,2.21,21.5,,,,
2.21,2.27,22,,,,
2.27,2.33,22.5,,,,
2.33,2.39,23,,,,
2.39,2.45,23.5,,,,
2.45,2.51,24,,,,
2.51,2.57,24.5,,,,
2.57,2.63,25,,,,
2.63,2.69,25.5,,,,
2.69,2.75,26,,,,
2.75,2.81,26.5,,,,
2.81,2.87,27,,,,
2.87,2.93,27.5,,,,
2.93,2.99,28,,,,
2.99,3.05,28.5,,,,
3.05,3.11,29,,,,
3.11,3.17,29.5,,,,
3.17,3.23,30,,,,
3.23,3.29,30.5,,,,
3.29,3.35,31,,,,
3.35,3.41,31.5,,,,
3.41,3.47,32,,,,
3.47,3.53,32.5,,,,
3.53,3.59,33,,,,
3.59,3.65,33.5,,,,
3.65,3.71,34,,,,
3.71,3.77,34.5,,,,
3.77,3.83,35,,,,
3.83,3.89,35.5,,,,
3.89,3.95,36,,,,
3.95,4.01,36.5,,,,
4.01,4.07,37,,,,
4.07,4.13,37.5,,,,
4.13,4.19,38,,,,
